PLAYER_NAME,GP,G,AVG_SEAS_ADJ_GPG,ADJ_G,ADJ_GPG,A,AVG_SEAS_ADJ_APG,ADJ_A,ADJ_APG,PTS,AVG_SEAS_ADJ_PTSPG,ADJ_PTS,ADJ_PTSPG
Al Hamilton,257,10,0.027363382,9.349759936,0.036380389,78,0.186241106,75.85827574,0.295168388,88,0.213066248,84.96270201,0.330594171
Al Hangsleben,185,21,0.089509366,17.45014359,0.094325101,48,0.202128141,39.44272744,0.213203932,69,0.291608657,56.87867334,0.307452288
Al Hill,221,40,0.110814905,33.24115429,0.150412463,55,0.192011923,45.11383519,0.204135001,95,0.302940395,78.39156126,0.354712947
Al Huggins,20,1,0.063297904,1.265958077,0.063297904,1,0.111332155,2.226643096,0.111332155,2,0.172782587,3.455651749,0.172782587
Al Iafrate,799,152,0.156832373,129.6390705,0.162251653,311,0.323432007,261.5645197,0.327364856,463,0.480686386,391.5173237,0.490009166
Al Karlander,212,36,0.140074547,35.01440293,0.165162278,56,0.243623156,54.92254039,0.259068587,92,0.383698706,89.9438138,0.424263273
Al LeBrun,6,0,0,0,0,2,0.253957873,2.031662985,0.338610498,2,0.254470233,2.035761864,0.339293644
Al MacAdam,864,240,0.217079755,203.6392723,0.235693602,351,0.317325278,297.0793682,0.343841861,591,0.534385139,500.6997868,0.579513642
Al MacInnis*,1416,340,0.198912664,318.9046881,0.225215175,934,0.565036849,847.0254397,0.598181808,1274,0.7660051,1168.426926,0.825160259
Al MacNeil,524,17,0.025870749,18.39283304,0.035100826,75,0.109959641,79.98576237,0.152644585,92,0.135747916,98.31145421,0.187617279
Al McDonough,237,73,0.269456752,69.22849093,0.292103337,88,0.278973944,83.54527557,0.352511711,161,0.548408046,152.7632978,0.644570877
Al McLeod,26,2,0.072927228,1.896107937,0.072927228,2,0.073301178,1.90583064,0.073301178,4,0.146316928,3.804240122,0.146316928
Al Nicholson,19,0,0,0,0,1,0.113925027,1.139250272,0.059960541,1,0.113420032,1.13420032,0.059694754
Al Pudas,4,0,0,0,0,0,0,0,0,0,0,0,0
Al Secord,766,273,0.27010749,218.4680376,0.285206315,223,0.219537702,176.5688723,0.230507666,496,0.488770953,394.3454038,0.514811232
Al Shields,411,38,0.104479211,47.20675316,0.11485828,46,0.244876158,85.63403634,0.20835532,84,0.318341889,130.1103772,0.316570261
Al Simmons,11,0,0,0,0,1,0.042293874,0.888171357,0.080742851,1,0.042295514,0.888205786,0.080745981
Al Sims,476,49,0.068365519,41.62820206,0.087454206,116,0.149823245,99.42213893,0.20887004,165,0.218064656,140.9745785,0.296165081
Al Staley,1,0,0,0,0,1,1.334525863,1.334525863,1.334525863,1,1.241634626,1.241634626,1.241634626
Al Suomi,5,0,0,0,0,0,0,0,0,0,0,0,0
Alain Belanger,9,0,0,0,0,1,0.102448701,0.922038312,0.102448701,1,0.102318152,0.920863366,0.102318152
Alain Caron,61,9,0.083153146,9.812071183,0.160853626,13,0.120623372,14.23355792,0.233337015,22,0.203854635,24.0548469,0.394341752
Alain Cote,815,105,0.073256222,82.5889375,0.10133612,208,0.165555798,164.1505397,0.201411705,313,0.239049543,246.8376342,0.302868263
Alain Daigle,389,56,0.124754072,49.88131988,0.128229614,50,0.111379669,44.36646819,0.114052617,106,0.23614248,94.24785334,0.242282399
Alain Langlais,25,4,0.141852027,3.730584347,0.149223374,4,0.142592528,3.749943591,0.149997744,8,0.284619807,7.485109932,0.299404397
Alain Lemieux,119,28,0.098045631,21.85935696,0.183692075,44,0.190553647,34.10153601,0.28656753,72,0.288589924,55.90931277,0.469826158
Alain Nasreddine,74,1,0.004778498,1.051269501,0.014206345,4,0.017899418,3.937871958,0.053214486,5,0.022932718,5.045197855,0.068178349
Alain Vigneault,42,2,0.040956418,1.538692056,0.036635525,5,0.095148446,3.834587234,0.091299696,7,0.136217401,5.378440329,0.128058103
Alan Haworth,524,189,0.288580854,148.7928878,0.283955893,211,0.310784281,164.4096815,0.313758934,400,0.598755894,312.9010064,0.597139325
Alan Hepple,3,0,0,0,0,0,0,0,0,0,0,0,0
Alan Kerr,391,72,0.098669751,59.01361527,0.150929962,94,0.140793425,76.09218137,0.19460916,166,0.239351693,134.98325,0.345225703
Alan Kuntz,45,10,0.158339733,9.817063417,0.218156965,12,0.228676675,12.60605461,0.280134547,22,0.38187164,22.324735,0.496105222
Alan Letang,14,0,0,0,0,0,0,0,0,0,0,0,0
Alan May,393,31,0.084831704,27.03263153,0.068785322,45,0.074484357,38.4363739,0.097802478,76,0.15889679,65.42988412,0.166488255
Alan Quine,106,10,0.20132557,10.76828542,0.101587598,18,0.104960224,19.02427967,0.179474336,28,0.30397553,29.81411501,0.281265236
Alan Rittinger,19,3,0.117443016,2.231417313,0.117443016,7,0.312677726,5.9408768,0.312677726,10,0.423934465,8.054754841,0.423934465
Albert Holway,116,7,0.104972364,12.20737062,0.105235954,2,0.052825396,6.603174439,0.056923918,9,0.206301434,24.03944492,0.207236594
Albert Hughes,60,6,0.11061423,7.611475297,0.126857922,8,0.240873323,17.63495343,0.29391589,14,0.337592526,24.0593958,0.40098993
Albert Langlois,498,21,0.037342949,21.70645686,0.043587263,91,0.163142119,93.41152064,0.187573335,112,0.200537463,115.1547227,0.231234383
Albert Leduc,342,52,0.211141043,77.83737384,0.22759466,33,0.283915179,105.271462,0.307811292,85,0.520407243,191.8175341,0.560869983
Aldo Guidolin,182,9,0.081582426,11.21129069,0.061600498,15,0.097750661,19.81180413,0.108856067,24,0.17991246,31.00139619,0.170337342
Aldo Palazzari,35,8,0.170726887,5.975441039,0.170726887,3,0.072571015,2.539985529,0.072571015,11,0.253253925,8.863887388,0.253253925
Alec Martinez,607,64,0.101110803,70.68048853,0.11644232,142,0.215505882,150.0909464,0.247266798,206,0.317223007,221.1529748,0.364337685
