"SEASON","TEAM_COUNT","TM_GP_TOT","LEAG_GP","PLAYER_COUNT","GP_TOT","G_TOT","A_TOT","PTS_TOT","GPG_TOT","APG_TOT","PTSPG_TOT","LEAG_GPG","LEAG_APG","LEAG_PTSPG","LEAG_GPG_ADJFAC","LEAG_APG_ADJFAC","LEAG_PTSPG_ADJFAC","LEAG_ADJ_GPG","LEAG_ADJ_APG","LEAG_ADJ_PTSPG","GPG_ADJ_CHG","APG_ADJ_CHG","PTSPG_ADJ_CHG"
1966,6,420,210,163,6608,1277,2106,3383,0.1933,0.3187,0.512,6.08095238095238,10.0285714285714,16.1095238095238,0.99644518229332,0.983996317618727,0.988695460447416,6.0593357037551,9.86807735669066,15.9274130604458,-0.00355481770667971,-0.0160036823812732,-0.011304539552584
1967,6,420,210,157,6649,1252,2052,3304,0.1883,0.3086,0.4969,5.96190476190476,9.77142857142857,15.7333333333333,1.01634225062985,1.00989095755606,1.01233557587579,6.0593357037551,9.86807735669066,15.9274130604458,0.0163422506298483,0.00989095755606167,0.0123355758757894
1968,12,888,444,288,13697,2476,4014,6490,0.1808,0.2931,0.4738,5.57657657657658,9.04054054054054,14.6171171171171,1.08656908419518,1.09153620985816,1.08964120166994,6.0593357037551,9.86807735669066,15.9274130604458,0.0865690841951785,0.0915362098581598,0.0896412016699409
1969,12,912,456,289,14161,2718,4469,7187,0.1919,0.3156,0.5075,5.96052631578947,9.80043859649123,15.7609649122807,1.01657729246222,1.00690160542648,1.01056078413292,6.05933570375509,9.86807735669066,15.9274130604458,0.0165772924622233,0.0069016054264805,0.0105607841329157
1970,12,912,456,288,14302,2649,4258,6907,0.1852,0.2977,0.4829,5.80921052631579,9.33771929824561,15.1469298245614,1.04305665568604,1.05679738718904,1.05152748741324,6.0593357037551,9.86807735669066,15.9274130604458,0.0430566556860413,0.056797387189042,0.0515274874132421
1971,14,1092,546,345,18175,3409,5557,8966,0.1876,0.3057,0.4933,6.24358974358974,10.1776556776557,16.4212454212454,0.970489086022377,0.969582551152259,0.969927228530379,6.0593357037551,9.86807735669066,15.9274130604458,-0.0295109139776234,-0.0304174488477414,-0.0300727714696205
1972,14,1092,546,338,17845,3348,5374,8722,0.1876,0.3011,0.4888,6.13186813186813,9.84249084249084,15.974358974359,0.988171234841781,1.00259959746057,0.997061170718113,6.0593357037551,9.86807735669066,15.9274130604458,-0.0118287651582193,0.00259959746056947,-0.00293882928188695
1973,16,1248,624,358,20261,4088,6688,10776,0.2018,0.3301,0.5319,6.55128205128205,10.7179487179487,17.2692307692308,0.924908385308997,0.920705782083578,0.922300088132716,6.0593357037551,9.86807735669066,15.9274130604458,-0.0750916146910031,-0.0792942179164215,-0.0776999118672837
1974,16,1248,624,388,20443,3989,6462,10451,0.1951,0.3161,0.5112,6.39262820512821,10.3557692307692,16.7483974358974,0.94786299301659,0.952906262855923,0.950981317550297,6.0593357037551,9.86807735669066,15.9274130604458,-0.0521370069834096,-0.0470937371440773,-0.0490186824497032
1975,18,1440,720,448,23653,4932,7986,12918,0.2085,0.3376,0.5461,6.85,11.0916666666667,17.9416666666667,0.884574555292715,0.889683908942809,0.887733194265439,6.0593357037551,9.86807735669066,15.9274130604458,-0.115425444707285,-0.110316091057191,-0.112266805734561
1976,18,1440,720,435,23743,4913,8003,12916,0.2069,0.3371,0.544,6.82361111111111,11.1152777777778,17.9388888888889,0.887995462386254,0.887794039337408,0.887870656822619,6.0593357037551,9.86807735669066,15.9274130604458,-0.112004537613745,-0.112205960662592,-0.112129343177381
1977,18,1440,720,446,24040,4783,7753,12536,0.199,0.3225,0.5215,6.64305555555556,10.7680555555556,17.4111111111111,0.912130818880131,0.916421475147333,0.914784413171741,6.0593357037551,9.86807735669066,15.9274130604458,-0.0878691811198686,-0.0835785248526666,-0.0852155868282592
1978,18,1440,720,456,24128,4747,7706,12453,0.1967,0.3194,0.5161,6.59305555555556,10.7027777777778,17.2958333333333,0.919048179208694,0.922010861253215,0.920881506747044,6.0593357037551,9.86807735669066,15.9274130604458,-0.0809518207913065,-0.0779891387467849,-0.0791184932529557
1979,17,1360,680,446,22861,4757,7773,12530,0.2081,0.34,0.5481,6.99558823529412,11.4308823529412,18.4264705882353,0.866165288743634,0.863282207969851,0.864376766249251,6.0593357037551,9.86807735669066,15.9274130604458,-0.133834711256366,-0.136717792030149,-0.135623233750749
1980,21,1680,840,584,28382,5901,9550,15451,0.2079,0.3365,0.5444,7.025,11.3690476190476,18.3940476190476,0.862538890214248,0.86797748477698,0.865900392904953,6.0593357037551,9.86807735669066,15.9274130604458,-0.137461109785752,-0.13202251522302,-0.134099607095047
1981,21,1680,840,570,28438,6457,10467,16924,0.2271,0.3681,0.5951,7.68690476190476,12.4607142857143,20.147619047619,0.78826730542888,0.791935127507419,0.790535746323235,6.0593357037551,9.86807735669066,15.9274130604458,-0.21173269457112,-0.208064872492581,-0.209464253676765
1982,21,1680,840,613,28468,6741,11104,17845,0.2368,0.3901,0.6268,8.025,13.2190476190476,21.2440476190476,0.755057408567613,0.746504410988847,0.749735330388032,6.0593357037551,9.86807735669066,15.9274130604458,-0.244942591432387,-0.253495589011153,-0.250264669611968
1983,21,1680,840,605,30035,6492,10622,17114,0.2161,0.3537,0.5698,7.72857142857143,12.6452380952381,20.3738095238095,0.78401755871138,0.780378928602914,0.781759201284003,6.0593357037551,9.86807735669066,15.9274130604458,-0.21598244128862,-0.219621071397086,-0.218240798715996
1984,21,1680,840,620,30031,6625,10816,17441,0.2206,0.3602,0.5808,7.88690476190476,12.8761904761905,20.7630952380952,0.768278036400646,0.766381747376124,0.767102056692531,6.0593357037551,9.86807735669066,15.9274130604458,-0.231721963599354,-0.233618252623876,-0.232897943307469
1985,21,1680,840,602,30110,6530,10824,17354,0.2169,0.3595,0.5764,7.77380952380952,12.8857142857143,20.6595238095238,0.779455128813825,0.76581531592943,0.770947733708334,6.0593357037551,9.86807735669066,15.9274130604458,-0.220544871186175,-0.23418468407057,-0.229052266291666
1986,21,1680,840,614,30116,6667,10957,17624,0.2214,0.3638,0.5852,7.93690476190476,13.0440476190476,20.9809523809524,0.763438126766804,0.756519574666437,0.759136800429779,6.0593357037551,9.86807735669066,15.9274130604458,-0.236561873233196,-0.243480425333563,-0.240863199570221
1987,21,1680,840,616,30189,6165,10133,16298,0.2042,0.3357,0.5399,7.33928571428571,12.0630952380952,19.402380952381,0.8256029182732,0.818038584784383,0.820899924578134,6.0593357037551,9.86807735669066,15.9274130604458,-0.1743970817268,-0.181961415215617,-0.179100075421866
1988,21,1680,840,669,30193,6236,10300,16536,0.2065,0.3411,0.5477,7.42380952380952,12.2619047619048,19.6857142857143,0.816203013334554,0.804775240739821,0.80908484341887,6.0593357037551,9.86807735669066,15.9274130604458,-0.183796986665446,-0.195224759260179,-0.19091515658113
1989,21,1680,840,660,30177,6286,10416,16702,0.2083,0.3452,0.5535,7.48333333333333,12.4,19.8833333333333,0.80971078446616,0.795812690055698,0.801043406225268,6.0593357037551,9.86807735669066,15.9274130604458,-0.19028921553384,-0.204187309944302,-0.198956593774732
1990,21,1680,840,654,30221,6189,10283,16472,0.2048,0.3403,0.5451,7.36785714285714,12.2416666666667,19.6095238095238,0.822401355817463,0.806105706468944,0.812228446501605,6.0593357037551,9.86807735669066,15.9274130604458,-0.177598644182537,-0.193894293531056,-0.187771553498395
1991,21,1680,840,659,30235,5805,9680,15485,0.192,0.3202,0.5122,6.91071428571429,11.5238095238095,18.4345238095238,0.876803099251383,0.856320762357454,0.863999158590535,6.0593357037551,9.86807735669066,15.9274130604458,-0.123196900748617,-0.143679237642546,-0.136000841409465
1992,22,1760,880,709,31658,6123,10218,16341,0.1934,0.3228,0.5162,6.95795454545455,11.6113636363636,18.5693181818182,0.870850141973621,0.849863777049108,0.857727403047076,6.0593357037551,9.86807735669066,15.9274130604458,-0.129149858026379,-0.150136222950892,-0.142272596952924
1993,24,2016,1008,714,36224,7311,12224,19535,0.2018,0.3375,0.5393,7.25297619047619,12.1269841269841,19.3799603174603,0.835427491367137,0.813728891978418,0.821849621956966,6.0593357037551,9.86807735669066,15.9274130604458,-0.164572508632863,-0.186271108021582,-0.178150378043034
1994,26,2184,1092,790,39265,7081,11747,18828,0.1803,0.2992,0.4795,6.48443223443223,10.757326007326,17.2417582417582,0.934443523301873,0.91733553022101,0.923769654876076,6.0593357037551,9.86807735669066,15.9274130604458,-0.0655564766981269,-0.0826644697789903,-0.0762303451239237
1995,26,1248,624,737,22448,3727,6171,9898,0.166,0.2749,0.4409,5.97275641025641,9.88942307692308,15.8621794871795,1.01449570140681,0.99784156061821,1.00411252270339,6.0593357037551,9.86807735669066,15.9274130604458,0.0144957014068095,-0.00215843938179025,0.00411252270338955
1996,26,2132,1066,777,38331,6700,11114,17814,0.1748,0.2899,0.4647,6.28517823639775,10.4258911819887,16.7110694183865,0.964067441821333,0.9464972523153,0.953105553072593,6.0593357037551,9.86807735669066,15.9274130604458,-0.035932558178667,-0.0535027476846999,-0.0468944469274068
1997,26,2132,1066,769,38341,6216,10245,16461,0.1621,0.2672,0.4293,5.83114446529081,9.61069418386491,15.4418386491557,1.03913318214333,1.02678091383428,1.03144537527703,6.0593357037551,9.86807735669066,15.9274130604458,0.0391331821433287,0.0267809138342845,0.0314453752770289
